hour,buy_price,sell_price,load_kw,pv_kw,wt_kw
0,0.42,0.25,92.0,0.0,66.0
1,0.42,0.25,88.0,0.0,64.0
2,0.42,0.25,80.0,0.0,68.0
3,0.42,0.25,76.0,0.0,70.0
4,0.42,0.25,78.0,0.0,72.0
5,0.42,0.25,90.0,8.0,76.0
6,0.52,0.32,108.0,18.0,74.0
7,0.52,0.32,126.0,42.0,70.0
8,0.52,0.32,136.0,72.0,66.0
9,0.6,0.38,148.0,98.0,62.0
10,0.6,0.38,142.0,112.0,58.0
11,0.6,0.38,138.0,120.0,54.0
12,0.6,0.38,134.0,118.0,50.0
13,0.6,0.38,140.0,106.0,48.0
14,0.6,0.38,148.0,84.0,46.0
15,0.52,0.32,160.0,56.0,44.0
16,0.52,0.32,176.0,28.0,48.0
17,0.6,0.38,196.0,10.0,56.0
18,0.6,0.38,205.0,0.0,62.0
19,0.6,0.38,198.0,0.0,70.0
20,0.52,0.32,174.0,0.0,76.0
21,0.52,0.32,150.0,0.0,78.0
22,0.52,0.32,126.0,0.0,74.0
23,0.42,0.25,104.0,0.0,70.0
